,Created at,User ID,Label,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
98,Tue Aug 30 15:45:32 +0000 2022,1.56464E+18,0,Transfer News,This afternoon Edu Gaspar held talks with representatives of Palmeiras holding midfielder Danilo Oliveira and Shakh… https://t.co/IeSxcsors4,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
109,Mon Aug 29 12:48:17 +0000 2022,1.56423E+18,1,Transfer News,Lucas Paqueta is a West Ham player. €60million deal signed this afternoon. €43million plus €17million in add-ons.… https://t.co/FiqwL23MiX,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
112,Mon Aug 29 12:15:48 +0000 2022,1.56423E+18,0,Transfer News,"Youri Tielemans has sold his family home in Quorn, Leicestershire and is living in temporary accommodation.

Tielem… https://t.co/6TdcOYJIzv",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
116,Mon Aug 29 12:04:39 +0000 2022,1.56422E+18,0,Transfer News,"Liverpool have made initial contact with RB Leipzig regarding a potential move for Konrad Laimer.

Laimer is into t… https://t.co/yrK5sEtKyw",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
130,Sun Aug 28 11:21:50 +0000 2022,1.56385E+18,1,Transfer News,Antony to Man Utd is a done deal. Total agreement reached yesterday evening and final points currently being ironed… https://t.co/fJt0uzj2rx,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
133,Sat Aug 27 02:32:31 +0000 2022,1.56335E+18,1,Transfer News,Wesley Fofana to Chelsea is a done deal pending medical and formalities. Fee and personal terms all agreed and deal… https://t.co/rh9HA3psQI,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
137,Thu Aug 25 20:09:05 +0000 2022,1.56289E+18,0,Transfer News,"Joao Pedro to #NUFC has taken two significant hits in past 24-48 hours.

Newcastle weren’t happy with Watford tryin… https://t.co/hcPLW9OzJS",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
152,Wed Aug 24 09:57:10 +0000 2022,1.56238E+18,0,Transfer News,Rumours of Leicester demanding a fee in the region of £50million for Youri Tielemans are totally wide of the mark.… https://t.co/k6kOX1NKgV,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
157,Tue Aug 23 12:39:35 +0000 2022,1.56206E+18,1,Transfer News,"Leicester now resigned to losing Wesley Fofana. Chelsea very confident of landing the young Frenchman.

World recor… https://t.co/M859Q6D4gN",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
163,Tue Aug 23 11:34:56 +0000 2022,1.56204E+18,0,Transfer News,"Of all the players linked to Arsenal this summer, Neto is the only player I’ve said “he isn’t a target” when asked… https://t.co/yEgMrAr05u",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
167,Tue Aug 23 11:13:34 +0000 2022,1.56204E+18,0,Transfer News,Everton’s interest in Joao Pedro is a direct result of intensified interest from Chelsea for Anthony Gordon. #EFC n… https://t.co/nhElPhkIhj,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
171,Sun Aug 21 20:34:48 +0000 2022,1.56145E+18,0,Transfer News,"Youri Tielemans still firmly in the sights of Arsenal and a deal is very much possible.

As reported all summer, th… https://t.co/K2wnO4cRe3",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
173,Sun Aug 21 20:30:10 +0000 2022,1.56145E+18,1,Transfer News,"Antony trying to force Man Utd move and has given strict instructions to his representatives to get it done.

Ajax… https://t.co/KgmAKaQmod",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
193,Fri Aug 19 22:36:15 +0000 2022,1.56076E+18,0,Transfer News,"Whilst there is no imminent news on the topic, I’m assured Newcastle still hold a very serious interest in Lyon’s L… https://t.co/Pdkv7fYgjJ",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
196,Fri Aug 19 12:08:47 +0000 2022,1.5606E+18,1,Transfer News,"As reported previously, Mikel Arteta and Edu planned to assess Brazilian prospect Marquinhos over summer.

Player h… https://t.co/rNPL5s2dSC",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
200,Fri Aug 19 01:42:22 +0000 2022,1.56044E+18,0,Transfer News,"Following potential Casemiro deal, Man Utd will turn attention to Cody Gakpo.

As reported since May, Gakpo highly… https://t.co/Geerndw1dX",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
218,Wed Aug 17 20:50:04 +0000 2022,1.56001E+18,1,Transfer News,"Man Utd willing to offer Casemiro a ridiculous £400,000 p/w contract (base salary plus match bonuses) in order to l… https://t.co/IX4PVaSfBg",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
219,Wed Aug 17 20:47:42 +0000 2022,1.56001E+18,1,Transfer News,"Man City set to offer Bernardo Silva a new contract if he stays at the club this summer.

Bernardo has had his hear… https://t.co/yAF1wNaIFm",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
225,Tue Aug 16 15:10:59 +0000 2022,1.55956E+18,0,Transfer News,"Names like James Maddison, Joao Pedro and Connor Gallagher high on the list. Lucas Paqueta also a long term target.… https://t.co/P5bm8QABVz",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
237,Mon Aug 15 22:35:43 +0000 2022,1.55931E+18,0,Transfer News,"As reported many times, the likes of Youri Tielemans, Yeremy Pino, Cody Gakpo and more are all part of the shortlis… https://t.co/j80aU43dcI",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
283,Sat Aug 13 09:28:08 +0000 2022,1.55838E+18,1,Transfer News,"Man City have no interest in signing Arsenal’s Kieran Tierney. I don’t know where this rumour came from, but it’s n… https://t.co/ZKH4rgmKv0",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
284,Fri Aug 12 20:10:34 +0000 2022,1.55818E+18,0,Transfer News,Man Utd set to submit formal enquiry to PSV Eindhoven for Cody Gakpo in coming days. Gakpo has moved quickly up the… https://t.co/H4B712ENxI,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
297,Mon Aug 08 23:56:55 +0000 2022,1.55679E+18,1,Transfer News,"Chelsea’s third bid for Wesley Fofana set to be lodged in the next 48 hours.

Fofana has expressed his desire to le… https://t.co/llg3A9L3nP",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
305,Mon Aug 08 14:26:25 +0000 2022,1.55665E+18,0,Transfer News,Arsenal contacted Villarreal last week regarding possible move for Spanish starlet Yeremy Pino. Villarreal open to… https://t.co/8VKVUiYzHK,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
307,Sun Aug 07 23:17:12 +0000 2022,1.55642E+18,0,Transfer News,Man Utd still interested in PSV star Cody Gakpo but nothing advanced. Frenkie De Jong still the key target but want… https://t.co/TWbLgAh89j,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
333,Thu Aug 04 22:48:31 +0000 2022,1.55532E+18,0,Transfer News,Arsenal remain interested in Leicester midfielder Youri Tielemans and have been in regular contact with his reps th… https://t.co/h4bMdOnUKp,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
350,Wed Aug 03 00:29:08 +0000 2022,1.55463E+18,0,Transfer News,Understand Man City will not make an improved offer for Marc Cucurella. They have admitted defeat as their stance w… https://t.co/8EmVAJUZDU,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
375,Tue Aug 02 10:25:27 +0000 2022,1.55441E+18,1,Transfer News,Bernd Leno to Fulham finally set to be completed. Final fee is £8million + add ons rather than the initially discus… https://t.co/DL1F3qq38h,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
378,Tue Aug 02 09:33:42 +0000 2022,1.5544E+18,1,Transfer News,"Man City have no intention of being sucked into a bidding war for Marc Cucurella. As reported many times, Brighton… https://t.co/Qnl6gVQ9Mf",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
382,Mon Aug 01 16:58:08 +0000 2022,1.55415E+18,1,Transfer News,"Chelsea have also offered Levi Colwill to Brighton as part of the potential deal to sign Marc Cucurella, according… https://t.co/ZGK7T0MsFQ",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
387,Mon Aug 01 16:46:22 +0000 2022,1.55415E+18,0,Transfer News,"Arsenal have remained in contact with PSV Eindhoven star Cody Gakpo’s reps throughout the summer window.

Raphinha… https://t.co/NmK6XtAcBM",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
404,Sun Jul 31 21:54:58 +0000 2022,1.55386E+18,1,Transfer News,Man City’s second bid for Brighton’s Marc Cucurella was rejected over the weekend. The first offer lodged last week… https://t.co/YzOkMivZad,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
405,Sun Jul 31 17:02:27 +0000 2022,1.55379E+18,1,Transfer News,"Chelsea internally discussing a deal to sign Wesley Fofana from Leicester on a player-plus-cash deal, with highly r… https://t.co/hAHAlR4P8v",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
428,Thu Jul 28 17:04:50 +0000 2022,1.5527E+18,1,Transfer News,"Nuno Tavares set to leave Arsenal to join Marseille on loan. Deal to be completed before end of the week.

No buy o… https://t.co/GlhosDnZyq",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
