,Created at,User ID,Label,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
24,Sat Sep 24 10:30:36 +0000 2022,1.57362E+18,1,City Talks,Aston Villa played blinder on “anonymous” £2.75m dud who is failing in the 2nd tier – opinion… https://t.co/04v8imvsvc,We exist to facilitate the exchange of constructive ideas and to engage one another to promote the wellbeing of us all.,Nakuru Kenya,9395,10174,33415,http://pbs.twimg.com/profile_images/1484958973245763585/QiLv9aFS_normal.jpg
27,Sat Sep 24 10:30:00 +0000 2022,1.57362E+18,1,Saints Live,"Ralph Hasenhuttl's decision to let Yan Valery leave Southampton ""not easy"" 👇

#SaintsFC 

https://t.co/LhV7vH8B37",All the latest Southampton FC news... ️⚽️,"St. Mary's, Southampton.",3879,243,17464,http://pbs.twimg.com/profile_images/1268200530150645762/VemIMjaA_normal.jpg
31,Sat Sep 24 10:28:17 +0000 2022,1.57362E+18,0,Everton FC News,"Jordan Pickford has 'clubs closely monitoring his situation', according to reports.

Read the latest Everton rumour… https://t.co/QaY1ADPRa7","Everton FC news from the Liverpool Echo. Also on Facebook at https://t.co/LYjO9dPWj2…
EFC content on YouTube https://t.co/rG7lBmQyVR",Liverpool,73566,2025,218676,http://pbs.twimg.com/profile_images/1551491630502477832/I9WTfCAb_normal.jpg
33,Sat Sep 24 10:23:37 +0000 2022,1.57362E+18,0,Football Transfers,"⚔️ Arsenal have a fight on their hands for the 'Ukrainian Neymar'

https://t.co/3rv61pxcN7","Football.
Transfers.

What more could you want?",,18907,106,4625,http://pbs.twimg.com/profile_images/1317079372952670208/iDNgMTJs_normal.jpg
36,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,0,#KTBFFH,Richarlison admits Arsenal contact and Chelsea transfer offer amid Antonio Conte Tottenham choice: https://t.co/VxMzyBOlr6,Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,796,279,99849,http://pbs.twimg.com/profile_images/1154007934608773121/7IKYqLiZ_normal.png
37,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,0,WHU News,L'Equipe: Angry Mbappe was promised West Ham star as Neymar replacement: https://t.co/7n2I9YipwN,"iOS: https://t.co/ciiElWoxAl
Android: https://t.co/xFBj8Q567J",Boleyn Ground,353,111,132938,http://pbs.twimg.com/profile_images/1554560930465386496/7IdpyyjJ_normal.jpg
38,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,0,Spurs News,Paratici eyes Spurs move for 'very interesting' new target called 'the next big thing' - report: https://t.co/ntBCgzNEvD,"Spurs News Mobile App - iOS: https://t.co/nyMQxh4EYD
& Android : https://t.co/Rfa6U9TreZ #COYS",,840,414,127965,http://pbs.twimg.com/profile_images/1027893673365827584/5v96cy5e_normal.jpg
39,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,1,MUFC News,Antonio Valencia urges Manchester United to sign Brighton star who was 'born to be great': https://t.co/RWwIy3tRsK,App now on iOS - https://t.co/iRAN5DcKR2,Old Trafford,2057,325,150964,http://pbs.twimg.com/profile_images/549882258513883139/MOcgnq28_normal.png
40,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,0,Arsenal News,Richarlison admits Arsenal contact and Chelsea transfer offer amid Antonio Conte Tottenham choice: https://t.co/SbZ8vpXhdQ,Arsenal News App for IPhone and IPad (https://t.co/KAk6MGJztx),,2661,211,113400,http://pbs.twimg.com/profile_images/2729654851/f6c8defaf8dea8a30b0f3a877bc79153_normal.png
41,Sat Sep 24 10:17:34 +0000 2022,1.57362E+18,0,Aston Villa News,Aston Villa can resurrect 'incredible' transfers for two players Steven Gerrard knows all about: https://t.co/0cuzqjH89U,"iOS: https://t.co/qDuDfZkuRE
Android: https://t.co/T2mUHjSSUM",,274,171,24184,http://pbs.twimg.com/profile_images/900376289294651392/9saUnRP2_normal.jpg
42,Sat Sep 24 10:15:07 +0000 2022,1.57362E+18,1,BBC Sports,Brighton news: Steve Bruce makes Seagulls transfer admission https://t.co/kSpcthuRKz,Football live scores page on https://t.co/w15iG6WsyM offers all the latest football results Flash Score Live,,0,23,70,http://pbs.twimg.com/profile_images/1573294428055273472/M6N4TOWF_normal.jpg
45,Sat Sep 24 10:15:00 +0000 2022,1.57362E+18,1,Liverpool.com,"Pep Lijnders should get transfer reunion for Roberto Firmino heir who gave #LFC 'headaches'

@Dave_Comerford 🔴✍️

https://t.co/VwtzOipbO2","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
50,Sat Sep 24 10:05:04 +0000 2022,1.57361E+18,0,Mr Steve Shelby,https://t.co/9Jq6lMkep0 Arsenal send scouts to watch next Luka Modric for second time as £44m star impresses… https://t.co/owpWYDdiao,"Designer, Lover of #TV #Football #Boxing #Oasis #Ofah #PeakyBlinders, share a lot of Global #News & stuff on the #RoyalFamily .. @DesignonPrint @BoxingInclusive","England, United Kingdom",1847,4778,224820,http://pbs.twimg.com/profile_images/1573341610624122882/lP2pGD5L_normal.jpg
51,Sat Sep 24 10:05:04 +0000 2022,1.57361E+18,1,LAURA VALENCIA,DeSantis to face trial for suspension of prosecutor who defied abortion ban law https://t.co/Xrg3ehMJia via @Yahoo… https://t.co/8FVRL7wtXn,"Very outgoing, happy, energetic, hard worker, smart, great personality, beautiful, friendly, compassion, fair, honest, and healthy.",,1,16,380,http://pbs.twimg.com/profile_images/1509205973088407553/QLfnuwO7_normal.png
52,Sat Sep 24 10:04:38 +0000 2022,1.57361E+18,1,sports updates and Immigration news,Jordi Cruyff says Erik ten Hag can take Manchester United back to the top – Man United News And Transfer News https://t.co/bvNfXP1qad,welcome to the sports news world and all round immigration updates,,156,649,1854,http://pbs.twimg.com/profile_images/1564707102349729792/07PtQYWl_normal.jpg
53,Sat Sep 24 10:04:14 +0000 2022,1.57361E+18,1,Mr Steve Shelby,https://t.co/9Jq6lMkep0 Arsenal handed transfer boost as Mudryk reveals Premier League dream and wants to develo…… https://t.co/gLU9ucegDz,"Designer, Lover of #TV #Football #Boxing #Oasis #Ofah #PeakyBlinders, share a lot of Global #News & stuff on the #RoyalFamily .. @DesignonPrint @BoxingInclusive","England, United Kingdom",1847,4778,224820,http://pbs.twimg.com/profile_images/1573341610624122882/lP2pGD5L_normal.jpg
54,Sat Sep 24 10:04:00 +0000 2022,1.57361E+18,0,Man United News,'Struggling for a negative' — Inside Manchester United's transfer for Martin Dubravka and his intensity in training… https://t.co/YKwvtxv4yU,💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
58,Sat Sep 24 10:00:38 +0000 2022,1.57361E+18,1,City Talks,"Signed for £9.5m, now worth £26.2m: Lage hit the jackpot on ""creative"" Wolves talent – opinion… https://t.co/7fDBnCLLr3",We exist to facilitate the exchange of constructive ideas and to engage one another to promote the wellbeing of us all.,Nakuru Kenya,9395,10174,33415,http://pbs.twimg.com/profile_images/1484958973245763585/QiLv9aFS_normal.jpg
59,Sat Sep 24 10:00:18 +0000 2022,1.57361E+18,1,LFCNews,Liverpool to battle Chelsea for Â£23m wonderkid as Real Madrid close in on FSG transfer âtargetâ (… https://t.co/nmrR4RXYvG,,,3384,33,230032,http://pbs.twimg.com/profile_images/57179285/liverpool_normal.jpg
62,Sat Sep 24 09:58:26 +0000 2022,1.57361E+18,0,LONDONENDZNEWS,Arsenal send scouts to watch next Luka Modric for second time as £44m star impresses https://t.co/rgp5wPYtAs,"London;    Crime, News & Sport.
 We make no claims of ownership of content, and operate on a fair use policy.     No endorsements are given or implied.",London,316,1957,18464,http://pbs.twimg.com/profile_images/1479186032885182471/AYlWkaCD_normal.png
66,Sat Sep 24 09:56:00 +0000 2022,1.57361E+18,0,Chelsea FC News,"Could we be about to see a #Chelsea midfield of Rice-Bellingham-Mount?

https://t.co/DWrGVNszrh

#CFC","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276509,770,153326,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
77,Sat Sep 24 09:47:00 +0000 2022,1.57361E+18,1,Man United News,"Antonio Valencia urges Man Utd to sign Brighton star who was 'born to be great' 😉 #mufc 
https://t.co/8E90m0lcVq",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
78,Sat Sep 24 09:43:00 +0000 2022,1.57361E+18,0,Man United News,Some great players could be up for free #mufc  https://t.co/Rzte7mWu7q,💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
80,Sat Sep 24 09:39:28 +0000 2022,1.57361E+18,0,Mirror Football,Arsenal send scouts to watch Lovro Majer for second time as £44m star impresses | ✍️ @TomHopkinson https://t.co/wrGD2c4rhp,"Catch all of the constantly happening football here. It's all here and it's all football, always. https://t.co/lzr5nqU3iJ","London, UK",738162,927,593717,http://pbs.twimg.com/profile_images/1420402483285970946/qSrAAm3i_normal.png
91,Sat Sep 24 09:18:00 +0000 2022,1.5736E+18,1,Man United News,"Ruud van Nistelrooy has told Manchester United why they need to sign Cody Gakpo.

#MUFC
https://t.co/ZHhGNk8qVZ",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
96,Sat Sep 24 09:12:46 +0000 2022,1.5736E+18,1,EPL Seasons,Arsenal transfer news: Mykhaylo Mudryk watched by Chelsea and Newcastle https://t.co/YtJQZvRoqj,"Premier League, Champions League, World Football & Transfer News.",Worldwide,1599,29,1441,http://pbs.twimg.com/profile_images/1564385386528399361/MVObl6Qn_normal.jpg
97,Sat Sep 24 09:09:00 +0000 2022,1.5736E+18,0,Man United News,"Man United have been told Jude Bellingham's best position amid transfer links 😍 #mufc 
https://t.co/zaKMsO4Q4r",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
104,Sat Sep 24 09:02:00 +0000 2022,1.5736E+18,1,Aston Villa News,Luis Suarez is set to become a free agent again https://t.co/amcCIFGPQo #avfc,#AVFC news and opinion from @birmingham_live || Keep up to date with our Villa podcast: @ClaretBluePod Sign up to our newsetter here: https://t.co/uLGO4gozqw,Birmingham,83170,597,104687,http://pbs.twimg.com/profile_images/1559901828703215618/9xIDHA_P_normal.jpg
119,Sat Sep 24 08:29:39 +0000 2022,1.57359E+18,1,Nottm Forest news,Four Nottingham Forest summer transfer targets who slipped through the net and what happened next (Nottinghamshire… https://t.co/tNpHEMetoO,"latest aggregated (& largely automated!) Nottingham Forest headlines, gossip & blogs curated by @zakig, a Tricky working in media monitoring #nffc",World Wide Web,30844,565,133754,http://pbs.twimg.com/profile_images/2375558178/711212jzawgl7vh2ok92_normal.jpeg
120,Sat Sep 24 08:29:38 +0000 2022,1.57359E+18,1,Nottm Forest news,Evangelos Marinakis told what Brian Clough would have made of 22 summer signings (Nottinghamshire Live) https://t.co/h8DRoPJw4v,"latest aggregated (& largely automated!) Nottingham Forest headlines, gossip & blogs curated by @zakig, a Tricky working in media monitoring #nffc",World Wide Web,30844,565,133754,http://pbs.twimg.com/profile_images/2375558178/711212jzawgl7vh2ok92_normal.jpeg
123,Sat Sep 24 08:24:00 +0000 2022,1.57359E+18,1,Man United News,The story of Martin Dubravka's rise to sealing United transfer and why he's so intense in training |… https://t.co/XxmqGp2h53,💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
132,Sat Sep 24 08:17:34 +0000 2022,1.57359E+18,0,MUFC News,Manchester United 'could turn' Ivan Toney's head and more transfer rumours: https://t.co/XkLWl3XMZV,App now on iOS - https://t.co/iRAN5DcKR2,Old Trafford,2057,325,150964,http://pbs.twimg.com/profile_images/549882258513883139/MOcgnq28_normal.png
133,Sat Sep 24 08:17:34 +0000 2022,1.57359E+18,0,NUFC News,Report: Newcastle considering January moves for 'special' 25-year-old and CL midfielder: https://t.co/eUUCfWmwlU,"iOS: https://t.co/jHOpstU1Bz
Android: https://t.co/h3GvTZ6Q7l",St James Park,403,185,89604,http://pbs.twimg.com/profile_images/561259464943087616/b1I-1KKF_normal.png
136,Sat Sep 24 08:15:25 +0000 2022,1.57359E+18,1,Dan Kay 💙,🔴 Jari Litmanen's long-awaited arrival at Anfield immediately had his #LFC team-mates marvelling at his sublime tal… https://t.co/USePSi2UA5,Journalist/author/editor/producer (freelance). Human. Merseysider. Liverpudlian. European Jew. Wannabe optimist. Namaste ✨#JFT97 #HillsboroughLawNOW,Liverpool,8574,1581,22580,http://pbs.twimg.com/profile_images/1384184154317721607/EOPM3DRe_normal.jpg
152,Sat Sep 24 07:55:23 +0000 2022,1.57358E+18,1,Football Transfers,"'I had never met someone as strong as Saka in the Eredivisie'

Tyrell Malacia has been speaking about his adaption… https://t.co/47g6b6QRWN","Football.
Transfers.

What more could you want?",,18907,106,4625,http://pbs.twimg.com/profile_images/1317079372952670208/iDNgMTJs_normal.jpg
165,Sat Sep 24 07:29:35 +0000 2022,1.57358E+18,1,Barnes AFC🔴⚪️,"@fabuhot1 &amp; like I’ve always told you, Arsenal would rather wait till quality players are available for the right p… https://t.co/w27hwXgHnE","If you have to be condescending because you disagree with me, don’t bother engaging. I will treat you like the animal you are.","London, England",630,807,10572,http://pbs.twimg.com/profile_images/1563138777970839552/3bqdx-1j_normal.jpg
168,Sat Sep 24 07:26:00 +0000 2022,1.57357E+18,1,Everton FC News,"Everton midfielder Allan ​has reached an agreement to leave Goodison Park and join Al-Wahda, according to reports. … https://t.co/QDcUNSHjv4","Everton FC news from the Liverpool Echo. Also on Facebook at https://t.co/LYjO9dPWj2…
EFC content on YouTube https://t.co/rG7lBmQyVR",Liverpool,73566,2025,218676,http://pbs.twimg.com/profile_images/1551491630502477832/I9WTfCAb_normal.jpg
174,Sat Sep 24 07:17:01 +0000 2022,1.57357E+18,0,Lynn Hamer,Todd Boehly closes in on first Chelsea January transfer as player makes big move https://t.co/kI7YKO9y6Z via @NewsNowUK,"I was a Blues fan before plastic was invented. In case you're mistaken,I am male and married to @hoolewis,feel free to follow her too. https://t.co/vXvNxxZeK3","South Wales,UK",26720,9066,576175,http://pbs.twimg.com/profile_images/1529698739/IMG00128-20110501-1335_normal.jpg
188,Sat Sep 24 07:00:05 +0000 2022,1.57357E+18,0,LFCNews,"Arsenal, Liverpool and Chelsea could trigger £30m clause to snap up La Liga bargain https://t.co/C3tKQHhmxO",,,3384,33,230032,http://pbs.twimg.com/profile_images/57179285/liverpool_normal.jpg
191,Sat Sep 24 07:00:00 +0000 2022,1.57357E+18,1,Blackburn Rovers Live,"""Within the remit that they're given and within current rules, they give everything they can for the football club.… https://t.co/ENxsPVLcUw",Blackburn Rovers news and live match updates from @_ElliottJackson and the @LiveLancs team. Find us on https://t.co/SJGbfJlCdK,,2242,28,7750,http://pbs.twimg.com/profile_images/1270681708401176576/NSnTbBVB_normal.jpg
193,Sat Sep 24 07:00:00 +0000 2022,1.57357E+18,0,Liverpool.com,"The 'perfect' #LFC midfielder just sent another powerful transfer reminder to Jürgen Klopp 

@BenBocsak 🔴✍️

https://t.co/X6xCCkk1eu","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
218,Sat Sep 24 06:17:34 +0000 2022,1.57356E+18,0,#KTBFFH,Jude Bellingham told he fits Chelsea in Todd Boehly masterplan with Declan Rice and Mason Mount: https://t.co/UunJx6Yzup,Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,796,279,99849,http://pbs.twimg.com/profile_images/1154007934608773121/7IKYqLiZ_normal.png
219,Sat Sep 24 06:17:34 +0000 2022,1.57356E+18,0,MCFC News,Riyad Mahrez has just given Man City a three-year transfer advantage: https://t.co/xnrbEX4996,MCFC News now available on iOS! - https://t.co/ks2zdDiivS,Etihad Stadium,811,120,102017,http://pbs.twimg.com/profile_images/557106316397641729/n1BG-yD__normal.png
220,Sat Sep 24 06:17:34 +0000 2022,1.57356E+18,1,Aston Villa News,Jude Bellingham responds to Steven Gerrard amid Liverpool transfer talk: https://t.co/gCseuJNBqQ,"iOS: https://t.co/qDuDfZkuRE
Android: https://t.co/T2mUHjSSUM",,274,171,24184,http://pbs.twimg.com/profile_images/900376289294651392/9saUnRP2_normal.jpg
278,Sat Sep 24 04:17:34 +0000 2022,1.57353E+18,0,#KTBFFH,Chelsea News: Todd Boehly close to first January transfer as Mason Mount solution offered: https://t.co/WovfiBB0pF,Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,796,279,99849,http://pbs.twimg.com/profile_images/1154007934608773121/7IKYqLiZ_normal.png
280,Sat Sep 24 04:09:04 +0000 2022,1.57352E+18,0,Meta Sports,"Man Utd boss Ten Hag left red-faced after ditching £34m Gakpo transfer https://t.co/V52Y8eJR2W 

#PremierLeague… https://t.co/IGpXeLQUEJ","Meta Sports create the world's first meta-universe sports industry ecology
Gitbook https://t.co/WdpxRnOh6A",,6467,11,175,http://pbs.twimg.com/profile_images/1562286783978545152/tLXJbXDQ_normal.jpg
306,Sat Sep 24 03:24:02 +0000 2022,1.57351E+18,0,Manchester Show,Sao Paulo 'demanding £15m Antony fee from Manchester United' - Sports Mole https://t.co/A5xw49IFGV,All the latest breaking news about Manchester.,"CANADA, St. Albert ",2202,1729,45584,http://pbs.twimg.com/profile_images/2884633631/23cbcc941b8177d9425f630fefac38bd_normal.png
317,Sat Sep 24 03:06:36 +0000 2022,1.57351E+18,0,Man City Today,Arsenal 'join' Liverpool and Manchester City in £30m race for Mykhaylo Mudryk alternative - https://t.co/lquIcDwwZe https://t.co/Y9mBhD3Fo3,Manchester City Latest Compilation News,Etihad Stadium,297,4,24634,http://pbs.twimg.com/profile_images/447749879616372737/T3agXW2Z_normal.jpeg
318,Sat Sep 24 03:06:34 +0000 2022,1.57351E+18,0,Man City Today,Antony turned down Man City and Pep Guardiola - and drew on-pitch reaction from Neymar - The Mirror https://t.co/PgibokdM0d,Manchester City Latest Compilation News,Etihad Stadium,297,4,24634,http://pbs.twimg.com/profile_images/447749879616372737/T3agXW2Z_normal.jpeg
322,Sat Sep 24 02:57:12 +0000 2022,1.57351E+18,0,Manchester Derby,#MUFC “It looked like they [United] might have been interested in him when Andreas Pereira was on loan from United… https://t.co/4lzoP3ZgaX,"#MUFC  #MCFC
order advertising https://t.co/1tYPjaFNaM…
RSS https://t.co/XqAgEJNxOh",Manchester,47300,46322,188074,http://pbs.twimg.com/profile_images/712578874845044736/Yeu3WQH0_normal.jpg
339,Sat Sep 24 01:30:16 +0000 2022,1.57348E+18,1,Cityzens Addict,'I literally know nothing' - John Stones recalls Pep Guardiola reality check after Man City transfer #ManCity #MCFC… https://t.co/SOdaKl6Trw,"Bringing you all the latest #ManCity news from across the web, with https://t.co/SaIbLbUOnC #MCFC","Manchester, England",1354,2458,57823,http://pbs.twimg.com/profile_images/859483975710015488/2aCCmTwz_normal.jpg
340,Sat Sep 24 01:28:06 +0000 2022,1.57348E+18,0,Sports Mole,Man United 'still a possible destination for Milinkovic-Savic' https://t.co/vCQwxUT4Sa,The latest breaking sports news and live coverage around the clock.,Follow teams ➜ bit.ly/SM-Lists,40180,684,40017,http://pbs.twimg.com/profile_images/1572123242168557568/1E0kDINF_normal.jpg
351,Sat Sep 24 01:00:25 +0000 2022,1.57348E+18,0,Kick Paper,Harry Kane phone call that dashed Burnley's transfer hopes despite cut-price fee https://t.co/U2ssl1bZqK  #harry #kane,"Automatically aggregated football news, filtered from untrusted sources.","London, England",184,259,95174,http://pbs.twimg.com/profile_images/876721572559695872/evnCkALW_normal.jpg
